annee,parti_gagnant,parti_perdant,orientation_gagnant,orientation_perdant,Autres coups et blessures volontaires [infractions],Autres coups et blessures volontaires [pour mille habitants],Autres dettes - Les Républicains (Droite) [euros],Autres dettes - Parti Socialiste (Gauche) [euros],Autres dettes - Rassemblement National (Extrême droite) [euros],Cambriolages de logement [infractions],Cambriolages de logement [pour mille habitants],Chômeurs catégorie A [personnes],Chômeurs catégorie B [personnes],Chômeurs catégorie C [personnes],Chômeurs total [personnes],Coups et blessures volontaires [infractions],Coups et blessures volontaires [pour mille habitants],Coups et blessures volontaires intrafamiliaux [infractions],Coups et blessures volontaires intrafamiliaux [pour mille habitants],Destructions et dégradations volontaires [infractions],Destructions et dégradations volontaires [pour mille habitants],Dettes fiscale et sociale - Les Républicains (Droite) [euros],Dettes fiscale et sociale - Parti Socialiste (Gauche) [euros],Dettes fiscale et sociale - Rassemblement National (Extrême droite) [euros],Dons - Les Républicains (Droite) [euros],Dons - Parti Socialiste (Gauche) [euros],Dons - Rassemblement National (Extrême droite) [euros],Escroqueries [infractions],Escroqueries [pour mille habitants],Financement public - Les Républicains (Droite) [euros],Financement public - Parti Socialiste (Gauche) [euros],Financement public - Rassemblement National (Extrême droite) [euros],Habitants commune [habitants],Habitants total commune [habitants],Homicides [infractions],Homicides [pour mille habitants],Inscrits [inscrits],Nombre entreprises [entreprises],Nombre entreprises actives [entreprises],Prix gaz [EUR/mWh TTC],Prix électricité [EUR/mWh TTC],Propragande communication - Les Républicains (Droite) [euros],Propragande communication - Parti Socialiste (Gauche) [euros],Propragande communication - Rassemblement National (Extrême droite) [euros],Prêts - Les Républicains (Droite) [euros],Prêts - Parti Socialiste (Gauche) [euros],Prêts - Rassemblement National (Extrême droite) [euros],Salaires - Les Républicains (Droite) [euros],Salaires - Parti Socialiste (Gauche) [euros],Salaires - Rassemblement National (Extrême droite) [euros],Total - Les Républicains (Droite) [euros],Total - Parti Socialiste (Gauche) [euros],Total - Rassemblement National (Extrême droite) [euros],Total actif - Les Républicains (Droite) [euros],Total actif - Parti Socialiste (Gauche) [euros],Total actif - Rassemblement National (Extrême droite) [euros],Total charges - Les Républicains (Droite) [euros],Total charges - Parti Socialiste (Gauche) [euros],Total charges - Rassemblement National (Extrême droite) [euros],Total passif - Les Républicains (Droite) [euros],Total passif - Parti Socialiste (Gauche) [euros],Total passif - Rassemblement National (Extrême droite) [euros],Total produits - Les Républicains (Droite) [euros],Total produits - Parti Socialiste (Gauche) [euros],Total produits - Rassemblement National (Extrême droite) [euros],Trafic de stupéfiants [infractions],Trafic de stupéfiants [pour mille habitants],Usage de stupéfiants [infractions],Usage de stupéfiants [pour mille habitants],Violences sexuelles [infractions],Violences sexuelles [pour mille habitants],Voix vaincu - LE PEN Jean-Marie - Rassemblement National (Extrême droite) [voix],Voix vaincu - LE PEN Marine - Rassemblement National (Extrême droite) [voix],Voix vaincu - ROYAL Ségolène - Parti Socialiste (Gauche) [voix],Voix vaincu - SARKOZY Nicolas - Les Républicains (Droite) [voix],Voix vainqueur - CHIRAC Jacques - Les Républicains (Droite) [voix],Voix vainqueur - HOLLANDE François - Parti Socialiste (Gauche) [voix],Voix vainqueur - MACRON Emmanuel - La République En Marche (Centre) [voix],Voix vainqueur - SARKOZY Nicolas - Les Républicains (Droite) [voix],Vols avec armes [infractions],Vols avec armes [pour mille habitants],Vols d'accessoires sur véhicules [infractions],Vols d'accessoires sur véhicules [pour mille habitants],Vols dans les véhicules [infractions],Vols dans les véhicules [pour mille habitants],Vols de véhicules [infractions],Vols de véhicules [pour mille habitants],Vols sans violence contre des personnes [infractions],Vols sans violence contre des personnes [pour mille habitants],Vols violents sans arme [infractions],Vols violents sans arme [pour mille habitants],Votants [votants]
2002,Les Républicains,Rassemblement National,Droite,Extrême droite,,,,,,,,11484,2313,3123,16917,,,,,,,,,,,,,,,,,,,,,,235558.0,2825,841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40689.0,,,,138779.0,,,,,,,,,,,,,,,,190246.0
2003,,,,,,,,,,,,12484,2348,3075,17908,,,,,,,,,,,,,,,,,,,,,,,2787,856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,12852,2610,3484,18943,,,,,,,,,,,,,,,,,,,,,,,2957,862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,12872,2759,3872,19503,,,,,,,,,,,,,,,,,,,,,,,3204,1036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,11679,2658,3630,17968,,,,,,,,,,,,,,,,,,344217.0,355619.0,,,,3107,1033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Les Républicains,Parti Socialiste,Droite,Gauche,,,,,,,,10029,2452,3466,15948,,,,,,,,,,,,,,,,,,345553.0,356799.0,,,245501.0,3208,1087,5.29515,11.4235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81254.0,,,,,115458.0,,,,,,,,,,,,,206567.0
2008,,,,,,,956391.0,6180379.0,159839.0,,,9913,2431,3036,15379,,,,,,,1835150.0,3492884.0,527675.0,8105016.0,1697237.0,537457.0,,,3.4484473E7,2.275411E7,1940963.0,346498.0,357829.0,,,,3090,1099,5.6655,11.243,6744672.25,4222664.0,621729.0,1466914.07,1767573.0,717658.0,6553899.0,1.1382318E7,1139995.0,5.3946999E7,5.929228E7,7128388.0,1.299317811E7,4.4173513E7,7434303.0,4.3523333E7,5.9270442E7,6988867.0,1.299317763E7,4.4173513E7,7434302.0,5.3943743E7,5.9259926E7,4641893.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,891408.0,6930957.0,175221.0,,,12663,2543,3181,18387,,,,,,,2031260.0,3876117.0,760043.0,7476623.0,558694.0,629229.0,,,3.3452186E7,2.3263077E7,1946883.0,347511.0,358494.0,,,,4097,1382,5.85925,11.52565,8951668.0,3955228.0,672381.0,1356372.0,734690.0,492442.0,7313120.0,1.2369625E7,690273.0,5.7505514E7,5.9406354E7,6029243.0,1.4439313E7,4.9208071E7,6749221.0,4.5244916E7,5.6948959E7,5945123.0,1.443931E7,4.9208071E7,6749216.0,5.7465613E7,5.9389488E7,5131831.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,904156.0,7726899.0,196999.0,,,13329,2682,3956,19964,,,,,,,3649020.0,3867090.0,1065329.0,7306692.0,1116821.0,724411.0,,,3.3339645E7,2.3267544E7,1946582.0,346669.0,357600.0,,,,4115,1371,5.64985,12.4786,6218005.0,3882754.0,638898.0,1374548.0,307450.0,500072.0,7733978.0,1.3557906E7,753439.0,5.1122457E7,5.7491752E7,8781012.0,3.6935443E7,5.0509339E7,6920819.0,4.6398736E7,5.7347023E7,8735079.0,3.6935442E7,5.0509338E7,6920818.0,5.0952786E7,5.7249475E7,5749234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,884444.0,7338149.0,445229.0,,,13653,2806,4648,21103,,,,,,,3856902.0,4395723.0,517957.0,1.058989E7,3157687.0,869357.0,,,3.3122661E7,2.3261809E7,2074978.0,346621.0,357439.0,,,,3958,1505,6.35375,13.4382,1.1324016E7,7775655.0,930095.0,1084352.0,1342931.0,711850.0,8226183.0,1.5021266E7,501677.0,5.4114777E7,6.7233241E7,1.3269241E7,5.5098779E7,5.0016935E7,4468587.0,5.3753659E7,6.7219677E7,7188830.0,5.509878E7,5.0016936E7,4468584.0,5.4016006E7,6.1905935E7,1.3227843E7,,,,,,,,,,,,,,,,,,,,,,,,,,,
